,UniqueID,,Course,
,19,,HTST489,
,19,,HTST490,
,19,,HTST491.01,
,19,,HTST493,
,19,,HTST507,
,19,,INTR301,
,19,,INTR501,
,19,,ITAL201,
,19,,ITAL203,
,19,,ITAL301,
,19,,ITAL303,
,19,,ITAL305,
,19,,ITAL309,
,19,,LATI201,
,19,,LING201,
,19,,MATH249,
,19,,PHIL313,
,19,,POLI201,
,19,,POLI359,
,19,,POLI369,
,19,,POLI381,
,19,,POLI399,
,19,,POLI487,
,19,,PSYC205,
,19,,RELS203,
,19,,SOCI201,
,19,,STAT211,
,19,,ZOOL377,
,20,,AMAT217,
,20,,AMAT219,
,20,,AMAT307,
,20,,CHEM209,
,20,,CPSC409,
,20,,CPSC411,
,20,,CPSC413,
,20,,CPSC433,
,20,,CPSC441,
,20,,CPSC453,
,20,,CPSC457,
,20,,CPSC511,
,20,,CPSC535,
,20,,CPSC565,
,20,,ENCM339,
,20,,ENEL327,
,20,,ENEL353,
,20,,ENGG201,
,20,,ENGG205,
,20,,ENGG233,
,20,,ENGG251,
,20,,ENGG253,
,20,,ENGG319,
,20,,MATH271,
,20,,PHIL279,
,20,,PHIL379,
,20,,PHYS259,
,20,,PHYS369,
,21,,CNST341,
,21,,COMS201,
,21,,COMS580,
,21,,ENGL265,
,21,,FILM301,
,21,,FILM307,
,21,,FILM321,
,21,,FILM333,
,21,,FILM409,
,21,,FILM451,
,21,,GNST201,
,21,,GNST300,
,21,,GNST300A,
,21,,GNST500,
,21,,HTST333,
,21,,RELS201,
,21,,RELS203,
,21,,UNIV205,
,22,,ANTH201,
,22,,ANTH203,
,22,,ANTH311,
,22,,ANTH317,
,22,,ANTH355,
,22,,ANTH435,
,22,,ANTH451,
,22,,ARKY201,
,22,,ARKY205,
,22,,BCEM393,
,22,,BIOL231,
,22,,BIOL233,
,22,,BIOL305,
,22,,BIOL311,
,22,,BIOL313,
,22,,BIOL315,
,22,,BIOL331,
,22,,CHEM201,
,22,,CHEM203,
,22,,CHEM351,
,22,,CMMB403,
,22,,CMMB413,
,22,,GLGY209,
,22,,GRST209,
,22,,GRST305,
,22,,KNES201,
,22,,KNES203,
,22,,KNES213,
,22,,KNES237,
,22,,KNES243,
,22,,KNES245,
,22,,KNES251,
,22,,KNES253,
,22,,KNES261,
,22,,KNES263,
,22,,KNES330,
,22,,KNES355,
,22,,KNES369,
,22,,KNES373,
,22,,KNES397,
,22,,MATH249,
,22,,MHST201,
,22,,PHIL201,
,22,,PHYS211,
,22,,PHYS223,
,22,,PSYC205,
,22,,PSYC385,
,22,,RELS201,
,22,,SOCI201,
,22,,SOCI303,
,22,,SOCI321,
,22,,SOCI325,
,22,,ZOOL375,
,22,,ZOOL377,
,22,,ZOOL461,
,22,,ZOOL463,
,22,,ZOOL471,
,23,,ACSC325,
,23,,ACSC327,
,23,,ACSC425,
,23,,ACSC427,
,23,,ACSC527,
,23,,ACSC533,
,23,,ACSC539,
,23,,ANTH201,
,23,,CPSC217,
,23,,ECON201,
,23,,ECON203,
,23,,ECON301,
,23,,ECON323,
,23,,ECON325,
,23,,GLGY209,
,23,,GLGY301,
,23,,GLGY307,
,23,,GRST205,
,23,,HTST213,
,23,,MATH251,
,23,,MATH253,
,23,,MATH271,
,23,,MATH311,
,23,,MATH321,
,23,,MATH323,
,23,,MATH349,
,23,,MATH353,
,23,,PHIL279,
,23,,PHYS211,
,23,,PHYS223,
,23,,PHYS321,
,23,,PSYC205,
,23,,PSYC345,
,23,,RELS201,
,23,,SOCI201,
,23,,STAT211,
,23,,STAT421,
,23,,STAT429,
